Instrumento;Acción;Tipo;Cantidad;Limit;Stop;Estado;Completo;Precio promedio;Restante;Nombre;Estrategia;OCO;TIF;Nombre de cuenta de pantalla;ID;Tiempo;Cancelar;
MNQ 12-25;Comprar;Stop Market;1;0;25710,75;Cancelado;0;0;1;Stop1;;d6582407b9ff49ab85c110283e69f783;Día;PAAPEX4193400000001;329064808584;09/12/2025 8:58:29;;
MNQ 12-25;Comprar;Mercado;1;0;0;Completo;1;25635,25;0;Exit;;;Día;PAAPEX4193400000001;329064809298;09/12/2025 12:16:59;;
MNQ 12-25;Comprar;Stop Market;1;0;25667,75;Cancelado;0;0;1;Stop1;;b2bb23600588406684082b85b87a92fc;Día;PAAPEX4193400000001;329064809292;09/12/2025 12:14:58;;
MNQ 12-25;Vender;Mercado;1;0;0;Completo;1;25600;0;Entry;;;Día;PAAPEX4193400000001;329064809490;09/12/2025 15:36:54;;
MNQ 12-25;Comprar;Limit;1;25574,00;0;Cancelado;0;0;1;Target1;;d6582407b9ff49ab85c110283e69f783;Día;PAAPEX4193400000001;329064808587;09/12/2025 8:58:29;;
MNQ 12-25;Comprar;Stop Market;1;0;25618,75;Completo;1;25618,75;0;Stop1;;a174e8c664e44da298e78c9888887528;Día;PAAPEX4193400000001;329064809496;09/12/2025 15:36:54;;
MNQ 12-25;Vender;Limit;2;25599,75;0;Cancelado;0;0;2;Entry;;;Día;PAAPEX4193400000001;329064809442;09/12/2025 15:32:49;;
MNQ 12-25;Comprar;Stop Market;2;0;25694,50;Cancelado;0;0;2;Stop1;;31882ec6dabe429bb6ac7338bb553934;Día;PAAPEX4193400000001;329064809246;09/12/2025 10:19:25;;
MNQ 12-25;Comprar;Stop Market;1;0;25719,50;Completo;1;25719,5;0;Stop1;;452b0d0515ac4209a459d058c2fff2b7;Día;PAAPEX4193400000001;329064808544;09/12/2025 0:33:12;;
MNQ 12-25;Comprar;Mercado;2;0;0;Completo;2;25668;0;Cerrar;;;Día;PAAPEX4193400000001;329064809266;09/12/2025 10:23:35;;
MNQ 12-25;Comprar;Limit;1;25574,00;0;Cancelado;0;0;1;Target1;;66343a331d3c486391a2af2e126f73b2;Día;PAAPEX4193400000001;329064808659;09/12/2025 9:06:17;;
MNQ 12-25;Vender;Mercado;1;0;0;Completo;1;25647,25;0;Entry;;;Día;PAAPEX4193400000001;329064809286;09/12/2025 12:14:58;;
MNQ 12-25;Comprar;Limit;1;25481,25;0;Cancelado;0;0;1;Target1;;ffc41e6291414a07b44eb7e1064f15ef;Día;PAAPEX4193400000001;329064809457;09/12/2025 15:34:09;;
MNQ 12-25;Comprar;Stop Market;1;0;25704,50;Cancelado;0;0;1;Stop1;;56ae58082aae45829bc217ff29789ab2;Día;PAAPEX4193400000001;329064808604;09/12/2025 9:00:57;;
MNQ 12-25;Comprar;Stop Market;1;0;25679,50;Cancelado;0;0;1;Stop1;;4ed9486c72d8412bb69d6216ff60b4ef;Día;PAAPEX4193400000001;329064808874;09/12/2025 9:55:21;;
MNQ 12-25;Comprar;Limit;2;25574,00;0;Cancelado;0;0;2;Target1;;a933edf8d59248469e52266278a2d977;Día;PAAPEX4193400000001;329064808571;09/12/2025 8:52:20;;
MNQ 12-25;Comprar;Stop Market;1;0;25622,00;Cancelado;0;0;1;Stop1;;6c24b1a895714531b20c89e70fa55783;Día;PAAPEX4193400000001;329064809532;09/12/2025 15:39:33;;
MNQ 12-25;Comprar;Limit;1;25640,75;0;Cancelado;0;0;1;Target1;;b4b1597f29754e5db2948fab1d837071;Día;PAAPEX4193400000001;329064809283;09/12/2025 12:13:10;;
MNQ 12-25;Comprar;Limit;1;25668,50;0;Cancelado;0;0;1;Target1;;4ed9486c72d8412bb69d6216ff60b4ef;Día;PAAPEX4193400000001;329064808877;09/12/2025 9:55:21;;
